Local time,Open,High,Low,Close,Volume
04.01.2017 05:00:00.000 GMT+0100,82.929,82.929,82.929,82.929,0
04.01.2017 06:00:00.000 GMT+0100,82.929,82.929,82.929,82.929,0
04.01.2017 07:00:00.000 GMT+0100,82.929,82.929,82.929,82.929,0
04.01.2017 08:00:00.000 GMT+0100,82.929,82.929,82.929,82.929,0
04.01.2017 09:00:00.000 GMT+0100,82.949,83.210,82.100,82.430,51133491.5161
04.01.2017 10:00:00.000 GMT+0100,82.429,82.480,82.249,82.449,39571083.0688
04.01.2017 11:00:00.000 GMT+0100,82.449,82.460,82.149,82.200,26499229.4312
04.01.2017 12:00:00.000 GMT+0100,82.200,82.350,82.189,82.219,21612379.0741
04.01.2017 13:00:00.000 GMT+0100,82.219,82.220,81.909,82.149,21475494.3848
04.01.2017 14:00:00.000 GMT+0100,82.150,82.190,81.969,82.090,20769767.7612
04.01.2017 15:00:00.000 GMT+0100,82.099,82.130,81.709,81.800,44744354.248
04.01.2017 16:00:00.000 GMT+0100,81.799,82.270,81.799,82.109,51840827.9419
04.01.2017 17:00:00.000 GMT+0100,82.110,82.390,82.099,82.359,15252455.7114
04.01.2017 18:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
04.01.2017 19:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
04.01.2017 20:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
04.01.2017 21:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
04.01.2017 22:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
04.01.2017 23:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 00:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 01:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 02:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 03:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 04:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 05:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 06:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 07:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 08:00:00.000 GMT+0100,82.359,82.359,82.359,82.359,0
05.01.2017 09:00:00.000 GMT+0100,82.150,82.620,82.069,82.450,53559379.5776
05.01.2017 10:00:00.000 GMT+0100,82.460,82.490,82.269,82.400,34769149.7803
05.01.2017 11:00:00.000 GMT+0100,82.393,82.489,81.999,82.119,40578559.8755
05.01.2017 12:00:00.000 GMT+0100,82.113,82.430,82.059,82.400,21388389.5874
05.01.2017 13:00:00.000 GMT+0100,82.399,82.450,82.029,82.100,20930244.4458
05.01.2017 14:00:00.000 GMT+0100,82.090,82.160,81.909,81.929,28567022.3236
05.01.2017 15:00:00.000 GMT+0100,81.919,82.280,81.839,82.140,61646709.4421
05.01.2017 16:00:00.000 GMT+0100,82.122,82.619,82.089,82.449,46937114.7156
05.01.2017 17:00:00.000 GMT+0100,82.449,82.590,82.369,82.549,20884929.657
05.01.2017 18:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
05.01.2017 19:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
05.01.2017 20:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
05.01.2017 21:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
05.01.2017 22:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
05.01.2017 23:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 00:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 01:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 02:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 03:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 04:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 05:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 06:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 07:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
06.01.2017 08:00:00.000 GMT+0100,82.549,82.549,82.549,82.549,0
